"","schoolprogram","cutoff","quality","size","schoolname","sssdistrict","ssslong","ssslat"
"3872","21307,Technical",220,250.416666666667,12,"KWABENG ANG. SENIOR HIGH/TECHNICAL SCH, KWABENG","East Akim (Kibi)",-0.454344213008881,6.17855787277222
"3874","21307,Visual Arts",211,250.2,10,"KWABENG ANG. SENIOR HIGH/TECHNICAL SCH, KWABENG","East Akim (Kibi)",-0.454344213008881,6.17855787277222
"3881","21401,Business",255,281.032,125,"YILO KROBO SENIOR HIGH./COMM SCH, SOMANYA","Yilo Krobo (Somanya)",-0.181593209505081,6.18635511398315
"3888","21401,General Arts",259,281.197916666667,96,"YILO KROBO SENIOR HIGH./COMM SCH, SOMANYA","Yilo Krobo (Somanya)",-0.181593209505081,6.18635511398315
"3889","21401,General Science",242,281.454545454545,44,"YILO KROBO SENIOR HIGH./COMM SCH, SOMANYA","Yilo Krobo (Somanya)",-0.181593209505081,6.18635511398315
"3891","21401,Home Economics",229,248.782608695652,46,"YILO KROBO SENIOR HIGH./COMM SCH, SOMANYA","Yilo Krobo (Somanya)",-0.181593209505081,6.18635511398315
"3904","21401,Visual Arts",231,259.895833333333,48,"YILO KROBO SENIOR HIGH./COMM SCH, SOMANYA","Yilo Krobo (Somanya)",-0.181593209505081,6.18635511398315
"3908","21402,Agriculture",205,227.086956521739,23,"KLO-AGOGO SENIOR HIGH SCH, KLO-AGOGO","Yilo Krobo (Somanya)",-0.181593209505081,6.18635511398315
"3911","21402,Business",207,232.066666666667,15,"KLO-AGOGO SENIOR HIGH SCH, KLO-AGOGO","Yilo Krobo (Somanya)",-0.181593209505081,6.18635511398315
"3918","21402,General Arts",203,237.432432432432,37,"KLO-AGOGO SENIOR HIGH SCH, KLO-AGOGO","Yilo Krobo (Somanya)",-0.181593209505081,6.18635511398315
"3921","21402,Home Economics",207,233.636363636364,11,"KLO-AGOGO SENIOR HIGH SCH, KLO-AGOGO","Yilo Krobo (Somanya)",-0.181593209505081,6.18635511398315
"3934","21402,Visual Arts",207,229.583333333333,12,"KLO-AGOGO SENIOR HIGH SCH, KLO-AGOGO","Yilo Krobo (Somanya)",-0.181593209505081,6.18635511398315
"3949","21501,Business",350,368.585365853659,41,"KROBO GIRLS SENIOR HIGH SCHOOL, ODUMASE","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"3956","21501,General Arts",335,359.753164556962,158,"KROBO GIRLS SENIOR HIGH SCHOOL, ODUMASE","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"3957","21501,General Science",337,366.116279069767,43,"KROBO GIRLS SENIOR HIGH SCHOOL, ODUMASE","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"3959","21501,Home Economics",345,362.342105263158,38,"KROBO GIRLS SENIOR HIGH SCHOOL, ODUMASE","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"3972","21501,Visual Arts",310,339.057142857143,35,"KROBO GIRLS SENIOR HIGH SCHOOL, ODUMASE","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"3976","21502,Agriculture",240,271.021276595745,47,"MANYA KROBO SENIOR HIGH, SCHOOL, NEW NUASO","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"3979","21502,Business",271,292.4375,48,"MANYA KROBO SENIOR HIGH, SCHOOL, NEW NUASO","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"3986","21502,General Arts",279,301.40625,96,"MANYA KROBO SENIOR HIGH, SCHOOL, NEW NUASO","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"3987","21502,General Science",281,305.127659574468,47,"MANYA KROBO SENIOR HIGH, SCHOOL, NEW NUASO","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"3989","21502,Home Economics",243,266.446808510638,47,"MANYA KROBO SENIOR HIGH, SCHOOL, NEW NUASO","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4002","21502,Visual Arts",238,269,48,"MANYA KROBO SENIOR HIGH, SCHOOL, NEW NUASO","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4006","21503,Agriculture",212,242.521739130435,23,"ASESEWA SENIOR HIGH SCH., ASESEWA","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4009","21503,Business",199,244.707692307692,65,"ASESEWA SENIOR HIGH SCH., ASESEWA","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4016","21503,General Arts",195,250.064516129032,93,"ASESEWA SENIOR HIGH SCH., ASESEWA","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4017","21503,General Science",218,263.69696969697,33,"ASESEWA SENIOR HIGH SCH., ASESEWA","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4019","21503,Home Economics",190,234.45652173913,46,"ASESEWA SENIOR HIGH SCH., ASESEWA","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4036","21504,Agriculture",210,246.3,50,"AKUSE METHODIST SENIOR HIGH./TECH., AKUSE","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4039","21504,Business",207,249.822916666667,96,"AKUSE METHODIST SENIOR HIGH./TECH., AKUSE","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4046","21504,General Arts",203,244.5625,144,"AKUSE METHODIST SENIOR HIGH./TECH., AKUSE","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4049","21504,Home Economics",199,230.770833333333,48,"AKUSE METHODIST SENIOR HIGH./TECH., AKUSE","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4060","21504,Technical",249,275,3,"AKUSE METHODIST SENIOR HIGH./TECH., AKUSE","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4066","21505,Agriculture",199,239.574468085106,94,"AKRO SENIOR HIGH TECHNICAL SCH., ODUMASE","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4079","21505,Home Economics",206,235.47619047619,42,"AKRO SENIOR HIGH TECHNICAL SCH., ODUMASE","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4090","21505,Technical",207,240.261363636364,88,"AKRO SENIOR HIGH TECHNICAL SCH., ODUMASE","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4092","21505,Visual Arts",204,239.625,72,"AKRO SENIOR HIGH TECHNICAL SCH., ODUMASE","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"4096","21601,Agriculture",216,257.233333333333,30,"S.D.A. SENIOR HIGH SCHOOL, AKIM SEKYERE","Atiwa (Kwabeng)",-0.675171911716461,6.32678174972534
"4099","21601,Business",213,263.875,56,"S.D.A. SENIOR HIGH SCHOOL, AKIM SEKYERE","Atiwa (Kwabeng)",-0.675171911716461,6.32678174972534
"4106","21601,General Arts",210,267.103092783505,97,"S.D.A. SENIOR HIGH SCHOOL, AKIM SEKYERE","Atiwa (Kwabeng)",-0.675171911716461,6.32678174972534
"4126","30101,Agriculture",356,376.176470588235,34,"ST. AUGUSTINE'S COLLEGE, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4129","30101,Business",378,400.38679245283,106,"ST. AUGUSTINE'S COLLEGE, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4136","30101,General Arts",376,391.866666666667,75,"ST. AUGUSTINE'S COLLEGE, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4137","30101,General Science",374,399.768707482993,147,"ST. AUGUSTINE'S COLLEGE, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4159","30102,Business",369,391.719626168224,107,"ADISADEL COLLEGE, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4166","30102,General Arts",361,387.046296296296,108,"ADISADEL COLLEGE, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4167","30102,General Science",376,400.642201834862,109,"ADISADEL COLLEGE, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4182","30102,Visual Arts",362,380.942857142857,35,"ADISADEL COLLEGE, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4189","30103,Business",412,428.675675675676,37,"HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4196","30103,General Arts",411,422.491803278689,61,"HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4197","30103,General Science",418,429.75,60,"HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4199","30103,Home Economics",400,409.526315789474,19,"HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4212","30103,Visual Arts",395,405.5625,16,"HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4226","30104,General Arts",373,398.008196721311,122,"MFANTSIPIM SENIOR HIGH SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4227","30104,General Science",406,423.518987341772,158,"MFANTSIPIM SENIOR HIGH SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4240","30104,Technical",376,395.868421052632,38,"MFANTSIPIM SENIOR HIGH SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4242","30104,Visual Arts",392,408.416666666667,24,"MFANTSIPIM SENIOR HIGH SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4246","30105,Agriculture",290,313.038461538462,26,"UNIVERSITY PRACTICE SENIOR HIGH. SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4249","30105,Business",317,339.509090909091,55,"UNIVERSITY PRACTICE SENIOR HIGH. SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4256","30105,General Arts",334,350.910714285714,56,"UNIVERSITY PRACTICE SENIOR HIGH. SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4257","30105,General Science",321,343.511111111111,45,"UNIVERSITY PRACTICE SENIOR HIGH. SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4259","30105,Home Economics",292,313.708333333333,48,"UNIVERSITY PRACTICE SENIOR HIGH. SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4272","30105,Visual Arts",300,320.375,48,"UNIVERSITY PRACTICE SENIOR HIGH. SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4279","30106,Business",368,385.266055045872,109,"GHANA NATIONAL COLLEGE, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4286","30106,General Arts",374,387.174311926606,109,"GHANA NATIONAL COLLEGE, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4287","30106,General Science",374,387.432835820896,67,"GHANA NATIONAL COLLEGE, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4289","30106,Home Economics",350,367.371428571429,35,"GHANA NATIONAL COLLEGE, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4302","30106,Visual Arts",359,371.555555555556,36,"GHANA NATIONAL COLLEGE, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4309","30107,Business",424,433.904761904762,42,"WESLEY GIRLS HIGH SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4316","30107,General Arts",417,428.415094339623,106,"WESLEY GIRLS HIGH SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4317","30107,General Science",433,443.884615384615,104,"WESLEY GIRLS HIGH SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4319","30107,Home Economics",403,416.096774193548,31,"WESLEY GIRLS HIGH SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4332","30107,Visual Arts",394,410.685714285714,35,"WESLEY GIRLS HIGH SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4336","30108,Agriculture",202,248.725,40,"OGUAA SENIOR HIGH/TECHNICAL SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4339","30108,Business",210,259.402597402597,77,"OGUAA SENIOR HIGH/TECHNICAL SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4346","30108,General Arts",234,271,70,"OGUAA SENIOR HIGH/TECHNICAL SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4349","30108,Home Economics",214,240.74358974359,39,"OGUAA SENIOR HIGH/TECHNICAL SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4360","30108,Technical",261,285.894736842105,38,"OGUAA SENIOR HIGH/TECHNICAL SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4362","30108,Visual Arts",325,325,1,"OGUAA SENIOR HIGH/TECHNICAL SCHOOL, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4369","30109,Business",262,292.369230769231,65,"ACADEMY OF CHRIST THE KING, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4376","30109,General Arts",281,305.11,100,"ACADEMY OF CHRIST THE KING, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4379","30109,Home Economics",283,299.269230769231,26,"ACADEMY OF CHRIST THE KING, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4392","30109,Visual Arts",261,283.888888888889,36,"ACADEMY OF CHRIST THE KING, CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4399","30110,Business",202,260.931506849315,73,"EFFUTU SENIOR HIGH/TECH., CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4406","30110,General Arts",240,264.297619047619,84,"EFFUTU SENIOR HIGH/TECH., CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4409","30110,Home Economics",244,261,23,"EFFUTU SENIOR HIGH/TECH., CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4420","30110,Technical",218,254.621621621622,37,"EFFUTU SENIOR HIGH/TECH., CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4422","30110,Visual Arts",224,243.868421052632,38,"EFFUTU SENIOR HIGH/TECH., CAPE COAST","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4429","30201,Business",269,295.239130434783,46,"EDINAMAN SENIOR HIGH. SCHOOL, ELMINA","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"4436","30201,General Arts",266,292.936170212766,94,"EDINAMAN SENIOR HIGH. SCHOOL, ELMINA","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"4437","30201,General Science",271,301.333333333333,48,"EDINAMAN SENIOR HIGH. SCHOOL, ELMINA","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"4439","30201,Home Economics",247,271.978723404255,47,"EDINAMAN SENIOR HIGH. SCHOOL, ELMINA","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"4452","30201,Visual Arts",230,256,46,"EDINAMAN SENIOR HIGH. SCHOOL, ELMINA","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"4456","30202,Agriculture",213,242.071428571429,28,"EGUAFO-ABREM SENIOR SENIOR HIGH. SCH., AGONA ABIREM","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"4459","30202,Business",215,244.555555555556,36,"EGUAFO-ABREM SENIOR SENIOR HIGH. SCH., AGONA ABIREM","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"4466","30202,General Arts",210,239.126213592233,103,"EGUAFO-ABREM SENIOR SENIOR HIGH. SCH., AGONA ABIREM","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"4486","30203,Agriculture",216,254.176470588235,34,"KOMENDA SENIOR HIGH./TECH. SCHOOL, KOMENDA","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"4489","30203,Business",223,248.078947368421,38,"KOMENDA SENIOR HIGH./TECH. SCHOOL, KOMENDA","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"4499","30203,Home Economics",210,243.685714285714,35,"KOMENDA SENIOR HIGH./TECH. SCHOOL, KOMENDA","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"4510","30203,Technical",207,243.433333333333,30,"KOMENDA SENIOR HIGH./TECH. SCHOOL, KOMENDA","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"4512","30203,Visual Arts",204,235.827586206897,29,"KOMENDA SENIOR HIGH./TECH. SCHOOL, KOMENDA","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"4518","30301,Agriculture",332,365.444444444444,36,"MFANTSIMAN GIRLS SENIOR HIGH. SCH, SALTPOND","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4521","30301,Business",378,394.012658227848,79,"MFANTSIMAN GIRLS SENIOR HIGH. SCH, SALTPOND","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4528","30301,General Arts",388,401.821428571429,84,"MFANTSIMAN GIRLS SENIOR HIGH. SCH, SALTPOND","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4529","30301,General Science",385,406.935897435897,78,"MFANTSIMAN GIRLS SENIOR HIGH. SCH, SALTPOND","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4531","30301,Home Economics",342,363.346153846154,78,"MFANTSIMAN GIRLS SENIOR HIGH. SCH, SALTPOND","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4544","30301,Visual Arts",316,356.0125,80,"MFANTSIMAN GIRLS SENIOR HIGH. SCH, SALTPOND","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4551","30302,Business",210,252.52380952381,42,"EKUMFI T.I. AHMADIYYA SENIOR HIGH. SCH, ESAKYIR","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4558","30302,General Arts",251,281.653333333333,75,"EKUMFI T.I. AHMADIYYA SENIOR HIGH. SCH, ESAKYIR","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4559","30302,General Science",232,259.571428571429,14,"EKUMFI T.I. AHMADIYYA SENIOR HIGH. SCH, ESAKYIR","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4561","30302,Home Economics",242,262.32,25,"EKUMFI T.I. AHMADIYYA SENIOR HIGH. SCH, ESAKYIR","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4572","30302,Technical",245,277.625,24,"EKUMFI T.I. AHMADIYYA SENIOR HIGH. SCH, ESAKYIR","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4578","30303,Agriculture",246,268.340909090909,44,"MANKESIM SENIOR HIGH TECH. SCH., MANKESIM","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4581","30303,Business",253,272.291666666667,48,"MANKESIM SENIOR HIGH TECH. SCH., MANKESIM","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4588","30303,General Arts",256,282.340206185567,97,"MANKESIM SENIOR HIGH TECH. SCH., MANKESIM","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4591","30303,Home Economics",240,262.333333333333,45,"MANKESIM SENIOR HIGH TECH. SCH., MANKESIM","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4602","30303,Technical",243,278.282608695652,46,"MANKESIM SENIOR HIGH TECH. SCH., MANKESIM","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4604","30303,Visual Arts",231,261.155555555556,45,"MANKESIM SENIOR HIGH TECH. SCH., MANKESIM","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4611","30304,Business",280,302.457446808511,94,"METHODIST HIGH SCHOOL, SALTPOND","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4618","30304,General Arts",293,316.555555555556,99,"METHODIST HIGH SCHOOL, SALTPOND","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4621","30304,Home Economics",272,291.1875,48,"METHODIST HIGH SCHOOL, SALTPOND","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4634","30304,Visual Arts",257,279.632653061225,49,"METHODIST HIGH SCHOOL, SALTPOND","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4641","30305,Business",206,256.363636363636,88,"KWAGYIR AGGREY SENIOR HIGH.TECH SCHOOL, ANOMABO","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4648","30305,General Arts",242,271.802325581395,86,"KWAGYIR AGGREY SENIOR HIGH.TECH SCHOOL, ANOMABO","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4651","30305,Home Economics",207,240.755555555556,45,"KWAGYIR AGGREY SENIOR HIGH.TECH SCHOOL, ANOMABO","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4662","30305,Technical",208,239.869565217391,23,"KWAGYIR AGGREY SENIOR HIGH.TECH SCHOOL, ANOMABO","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4664","30305,Visual Arts",207,240.75,44,"KWAGYIR AGGREY SENIOR HIGH.TECH SCHOOL, ANOMABO","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"4668","30401,Agriculture",335,349.842105263158,38,"AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"4671","30401,Business",353,369.253731343284,134,"AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"4678","30401,General Arts",360,373.295454545455,132,"AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"4679","30401,General Science",363,378.797101449275,69,"AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"4681","30401,Home Economics",342,358.583333333333,36,"AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"4694","30401,Visual Arts",344,358.025641025641,39,"AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"4701","30402,Business",207,255.493243243243,148,"ABURAMAN SENIOR HIGH. SCHOOL, ABURA DUNKWA","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"4708","30402,General Arts",207,247.815450643777,233,"ABURAMAN SENIOR HIGH. SCHOOL, ABURA DUNKWA","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"4711","30402,Home Economics",192,246.685483870968,124,"ABURAMAN SENIOR HIGH. SCHOOL, ABURA DUNKWA","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"4724","30402,Visual Arts",312,312,1,"ABURAMAN SENIOR HIGH. SCHOOL, ABURA DUNKWA","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"4728","30403,Agriculture",219,241.933333333333,15,"ABAKRAMPA SENIOR HIGH TECHNICAL","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"4731","30403,Business",227,233,2,"ABAKRAMPA SENIOR HIGH TECHNICAL","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"4738","30403,General Arts",208,242.085714285714,35,"ABAKRAMPA SENIOR HIGH TECHNICAL","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"4741","30403,Home Economics",215,248.375,8,"ABAKRAMPA SENIOR HIGH TECHNICAL","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"4764","30501,Business",335,353.69696969697,132,"APAM SENIOR HIGH SCHOOL, APAM","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4771","30501,General Arts",344,357.167883211679,137,"APAM SENIOR HIGH SCHOOL, APAM","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4772","30501,General Science",344,360.574468085106,47,"APAM SENIOR HIGH SCHOOL, APAM","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4774","30501,Home Economics",324,337.837209302326,43,"APAM SENIOR HIGH SCHOOL, APAM","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4787","30501,Visual Arts",328,343.190476190476,42,"APAM SENIOR HIGH SCHOOL, APAM","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4794","30502,Business",278,301.772151898734,79,"POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4801","30502,General Arts",289,310.376470588235,85,"POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4802","30502,General Science",299,319,18,"POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4804","30502,Home Economics",273,289.4,30,"POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4815","30502,Technical",273,295.117647058824,17,"POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4817","30502,Visual Arts",280,297.909090909091,22,"POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4821","30503,Agriculture",203,237.044117647059,68,"GOMOA SENIOR HIGH./TECH. SCHOOL, DAWURAMPON","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4824","30503,Business",281,281,1,"GOMOA SENIOR HIGH./TECH. SCHOOL, DAWURAMPON","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4831","30503,General Arts",226,252.733333333333,90,"GOMOA SENIOR HIGH./TECH. SCHOOL, DAWURAMPON","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4834","30503,Home Economics",223,240.108108108108,37,"GOMOA SENIOR HIGH./TECH. SCHOOL, DAWURAMPON","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4845","30503,Technical",236,253.805555555556,36,"GOMOA SENIOR HIGH./TECH. SCHOOL, DAWURAMPON","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4851","30504,Agriculture",267,288.025641025641,39,"MOZANO SENIOR HIGH. SCHOOL, MOZANO","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"4854","30504,Business",242,268.314285714286,140,"MOZANO SENIOR HIGH. SCHOOL, MOZANO","Gomoa (Apam)",-0.723635494709015,5.40456104278564
